genus,render_key
abies,conifer
acacia,hardwood
acer,hardwood
acnistus,
acoelorraphe,
acrocomia,
adansonia,
adelia,
adenanthera,
aegiphila,
aesculus,
afrocarpus,
agathis,
aglaia,
aidia,
ailanthus,hardwood
aiphanes,
albizia,
alchornea,
alchorneopsis,
alectryon,
aleurites,
allophylus,
alnus,hardwood
alphitonia,
alsophila,
alstonia,
amelanchier,
amphitecna,
amyris,
anacardium,
anacolosa,
anadenanthera,
andira,
aniba,
annona,
antidesma,
antirhea,
aralia,
araucaria,
arbutus,
archontophoenix,
ardisia,
areca,
arenga,
artocarpus,
arytera,
ascarina,
asimina,
astronidium,
atuna,
averrhoa,
avicennia,
azadirachta,
baccaurea,
baccharis,
bactris,
badusa,
banara,
barringtonia,
bastardiopsis,
bauhinia,
beilschmiedia,
bernardia,
betula,
bischofia,
bixa,
blighia,
bobea,
bocconia,
boehmeria,
bontia,
bourreria,
brachychiton,
broussonetia,
brugmansia,
bruguiera,
brunellia,
brunfelsia,
buchanania,
buchenavia,
bucida,
bunchosia,
burckella,
bursera,
butia,
buxus,
byrsonima,
caesalpinia,
calliandra,
callicarpa,
callistemon,
callitris,
calocedrus,
calophyllum,
calotropis,
calycophyllum,
calyptranthes,
calyptronoma,
camellia,
campnosperma,
cananga,
canarium,
canella,
capparis,
caragana,
carapa,
carica,
carmona,
carpinus,
carya,
caryota,
casearia,
cassia,
cassine,
cassipourea,
castanea,
castela,
castilla,
casuarina,
catalpa,
cecropia,
cedrela,
cedrus,conifer
ceiba,
celtis,
ceratonia,
cerbera,
cercidiphyllum,
cercis,
cercocarpus,
cereus,
ceriops,
cestrum,
chamaecyparis,
chamaerops,
chamaesyce,
charpentiera,
cheirodendron,
chenopodium,
chionanthus,
chione,
chlorophora,
chorisia,
chrysobalanus,
chrysolepis,
chrysophyllum,
cibotium,
cinchona,
cinnamomum,
citharexylum,
citronella,
citrus,
cladrastis,
claoxylon,
cleistanthus,
clermontia,
clerodendrum,
clethra,
cleyera,
clibadium,
clidemia,
clinostigma,
clitoria,
clusia,
cnidoscolus,
coccoloba,
coccothrinax,
cochlospermum,
cocos,
codiaeum,
coffea,
cojoba,
cola,
colona,
colubrina,
colutea,
commersonia,
comocladia,
condalia,
conocarpus,
conostegia,
consolea,
copaifera,
coprosma,
cordia,
cordyline,
cornus,
cornutia,
corylus,
corymbia,
corynocarpus,
cotinus,
couroupita,
crataegus,
crateva,
crescentia,
critonia,
crossopetalum,
crossostylis,
crotalaria,
croton,
cryptocarya,
cryptomeria,
cudrania,
cunninghamia,
cupania,
cupaniopsis,
cupressocyparis,
cupressus,
cyanea,
cyathea,
cybianthus,
cycas,
cyclophyllum,
cydonia,
cynometra,
cyphomandra,
cyrilla,
cyrtandra,
dacryodes,
dalbergia,
daphnopsis,
delissea,
delonix,
dendrocnide,
dendropanax,
dictyosperma,
dillenia,
dimocarpus,
diospyros,
discocalyx,
ditta,
dodonaea,
dolichandrone,
dovyalis,
dracaena,
drypetes,
dubautia,
duranta,
durio,
dypsis,
dysoxylum,
ebenopsis,
ehretia,
elaeagnus,
elaeis,
elaeocarpus,
elattostachys,
endiandra,
enterolobium,
eriobotrya,
erithalis,
erythrina,
erythrospermum,
erythroxylum,
eucalyptus,
eugenia,
euodia,
euphorbia,
eurya,
excoecaria,
exocarpos,
exorrhiza,
exostema,
exothea,
fagraea,
fagus,
falcataria,
family arecaceae,
faramea,
feijoa,
ficus,
finschia,
firmiana,
fitchia,
flacourtia,
flindersia,
flueggea,
forestiera,
fortunella,
frangula,
franklinia,
fraxinus,
fuchsia,
funtumia,
garcinia,
gardenia,
garuga,
gaussia,
geniostoma,
genipa,
gesneria,
ginkgo,
ginoria,
gironniera,
gleditsia,
gliricidia,
glochidion,
glycosmis,
gmelina,
gnetum,
goetzea,
gomidesia,
goniothalamus,
gordonia,
gossypium,
graffenrieda,
grevillea,
guaiacum,
guamia,
guapira,
guarea,
guatteria,
guazuma,
guettarda,
guioa,
gulubia,
gyminda,
gymnanthes,
gymnocladus,
gyrocarpus,
haematoxylum,
haenianthus,
halesia,
hamelia,
haplolobus,
harpephyllum,
harpullia,
havardia,
hebestigma,
hedycarya,
hedyosmum,
hedyotis,
helicteres,
heliocarpus,
henriettea,
heritiera,
hernandia,
hesperomannia,
heteromeles,
heterospathe,
hevea,
hibiscadelphus,
hibiscus,
hippomane,
hirtella,
homalanthus,
homalium,
horsfieldia,
hovenia,
howeia,
hura,
hyeronima,
hymenaea,
hypelate,
hyperbaena,
ilex,
inga,
inocarpus,
intsia,
ixora,
jacaranda,
jacquinia,
jatropha,
juglans,
juniperus,
kayea,
khaya,
kigelia,
kleinhovia,
koelreuteria,
kokia,
krugiodendron,
kunzea,
labordia,
laburnum,
laetia,
lagerstroemia,
laguncularia,
lansium,
laplacea,
larix,
latania,
lawsonia,
leandra,
leptocereus,
leptospermum,
leucaena,
licaria,
ligustrum,
liquidambar,
liriodendron,
litchi,
lithocarpus,
litsea,
livistona,
lonchocarpus,
lophostemon,
luehea,
lumnitzera,
lunania,
lyonia,
lysiloma,
macadamia,
macaranga,
machaerium,
machaonia,
maclura,
maesopsis,
magnolia,
mallotus,
malpighia,
malus,
mammea,
mangifera,
manihot,
manilkara,
mappia,
maranthes,
margaritaria,
marlierea,
matayba,
maytenus,
mecranium,
medusanthera,
melaleuca,
melanolepis,
melia,
melicoccus,
melicope,
melicytus,
meliosma,
melochia,
merrilliodendron,
meryta,
metasequoia,
metopium,
metrosideros,
metroxylon,
michelia,
miconia,
micromelum,
micropholis,
millettia,
mimosa,
mimusops,
monodora,
montanoa,
morella,
morinda,
moringa,
morisonia,
morus,
mouriri,
munroidendron,
muntingia,
murraya,
mussaenda,
myoporum,
myrcia,
myrcianthes,
myrciaria,
myrica,
myristica,
myrospermum,
myroxylon,
myrsine,
nectandra,
neea,
neolamarckia,
neolaugeria,
neonauclea,
nephelium,
neraudia,
nesoluma,
nestegis,
neuburgia,
nicotiana,
nothocestrum,
nototrichium,
nyssa,
ochna,
ochroma,
ochrosia,
ocotea,
olea,
ormosia,
osmoxylon,
ostrya,
ottoschulzia,
ouratea,
oxandra,
oxydendrum,
pachira,
palaquium,
palicourea,
pandanus,
pangium,
parathesis,
parinari,
parkia,
parkinsonia,
parmentiera,
paulownia,
peltophorum,
pemphis,
pentadesma,
pera,
pericopsis,
perrottetia,
persea,
petitia,
phaleria,
phellodendron,
phialanthus,
phoenix,
photinia,
phyllanthus,
picea,
picramnia,
picrasma,
pictetia,
pilocarpus,
pilosocereus,
pimenta,
pinanga,
pinus,
piper,
pipturus,
piscidia,
pisonia,
pistacia,
pithecellobium,
pittosporum,
planchonella,
planera,
platanus,
platycladus,
platydesma,
pleodendron,
pleomele,
plumeria,
podocarpus,
poitea,
polygala,
polyscias,
pometia,
ponapea,
poncirus,
pongamia,
populus,
pouteria,
premna,
prestoea,
pritchardia,
prockia,
prosopis,
prunus,
pseudolmedia,
pseudophoenix,
pseudotsuga,
psidium,
psychotria,
psydrax,
pteralyxia,
pterocarpus,
pterocarya,
ptychococcus,
ptychosperma,
punica,
pyrus,
quararibea,
quercus,
randia,
rapanea,
rauvolfia,
ravenala,
ravenia,
reynoldsia,
reynosia,
rhamnus,
rheedia,
rhizophora,
rhododendron,
rhodomyrtus,
rhus,
ricinus,
rinorea,
robinia,
rochefortia,
rollinia,
rondeletia,
roystonea,
sabal,
sagraea,
salix,
samadera,
samanea,
samyda,
sandoricum,
santalum,
sapindus,
sapium,
sarcopygme,
sassafras,
savia,
schaefferia,
schefflera,
schinus,
schizolobium,
schleichera,
schleinitzia,
schoepfia,
scyphiphora,
securinega,
semecarpus,
senna,
sequoia,
sequoiadendron,
serianthes,
sesbania,
shirakiopsis,
sideroxylon,
simarouba,
siphoneugena,
sloanea,
solanum,
sonneratia,
sophora,
sorbus,
soulamea,
spathodea,
spiraeanthemum,
spondias,
stahlia,
stemonurus,
sterculia,
stewartia,
streblus,
styphnolobium,
styrax,
suriana,
swietenia,
syagrus,
symplocos,
syncarpia,
synsepalum,
syringa,
syzygium,
tabebuia,
tabernaemontana,
tamarindus,
tarenna,
