pacific silver fir,abies,amabilis
balsam fir,abies,balsamea
santa lucia,abies,bracteata
bristlecone fir,abies,bracteata
white fir,abies,concolor
fraser fir,abies,fraseri
grand fir,abies,grandis
corkbark fir,abies,lasiocarpa
subalpine fir,abies,lasiocarpa
california red fir,abies,magnifica
noble fir,abies,procera
shasta red fir,abies,shastensis
blackbrush wattle,acacia,anegadensis
mulga,acacia,aneura
auri,acacia,auriculiformis
small philippine acacia,acacia,confusa
silver wattle,acacia,dealbata
green wattle,acacia,decurrens
sweet acacia,acacia,farnesiana
koa,acacia,koa
koaoha,acacia,koaia
sydney golden wattle,acacia,longifolia
porknut,acacia,macracantha
blackwood,acacia,melanoxylon
spineless wattle,acacia,muricata
gum arabic tree,acacia,nilotica
south wales wattle,acacia,parramattensis
acacia polyacantha,acacia,polyacantha
acacia spp.,acacia,spp.
poponax,acacia,tortuosa
prickly moses,acacia,verticillata
florida maple,acer,barbatum
hedge maple,acer,campestre
vine maple,acer,circinatum
amur maple,acer,ginnala
bigtooth maple,acer,grandidentatum
paperbark maple,acer,griseum
chalk maple,acer,leucoderme
bigleaf maple,acer,macrophyllum
miyabe maple,acer,miyabei
painted maple,acer,mono
boxelder,acer,negundo
black maple,acer,nigrum
japanese maple,acer,palmatum
striped maple,acer,pensylvanicum
norway maple,acer,platanoides
norway maple x shantung maple,acer,platanoides x truncatum
sycamore maple,acer,pseudoplatanus
red maple,acer,rubrum
silver maple,acer,saccharinum
sugar maple,acer,saccharum
mountain maple,acer,spicatum
tatarian maple,acer,tataricum
three flower maple,acer,triflorum
freeman maple,acer,x freemanii
hollowheart,acnistus,arborescens
everglades palm,acoelorraphe,wrightii
paurotis-palm,acoelorraphe,wrightii
grugru palm,acrocomia,media
baobab,adansonia,digitata
wild lime,adelia,ricinella
red beadtree,adenanthera,pavonina
caribbean spiritweed,aegiphila,martinicensis
california buckeye,aesculus,californica
yellow buckeye,aesculus,flava
ohio buckeye,aesculus,glabra
texas buckeye,aesculus,glabra
horse chestnut,aesculus,hippocastanum
bottlebrush buckeye,aesculus,parviflora
east african yellowwood,afrocarpus,gracilior
kauri,agathis,australis
queensland kauri,agathis,robusta
titimel,aglaia,mariannensis
karasyu,aglaia,ponapensis
marasau,aglaia,ponapensis
laga ali,aglaia,samoensis
aidia racemosa,aidia,racemosa
ailanthus,ailanthus,altissima
aiphanes minima,aiphanes,minima
cream albizia,albizia,adinocephala
naked albizia,albizia,carbonaria
chinese albizia,albizia,chinensis
mimosa,albizia,julibrissin
silktree,albizia,julibrissin
woman's tongue,albizia,lebbeck
tall albizia,albizia,procera
ukall ra ngebard,albizia,retusa
whiteflower albizia,albizia,saponaria
achiotillo,alchornea,latifolia
palo de gallina,alchorneopsis,floribunda
hawaii alectryon,alectryon,macrococcus
indian walnut,aleurites,moluccana
lumbang,aleurites,trisperma
palo blanco,allophylus,crassinervis
palo de caja,allophylus,racemosus
ebeludes,allophylus,timorensis
italian alder,alnus,cordata
european alder,alnus,glutinosa
gray alder,alnus,incana
nepal alder,alnus,nepalensis
arizona alder,alnus,oblongifolia
white alder,alnus,rhombifolia
red alder,alnus,rubra
green alder,alnus,viridis
chelebiob,alphitonia,carolinensis
elebiong,alphitonia,carolinensis
hawaii kauilatree,alphitonia,ponderosa
toi,alphitonia,zizyphoides
helecho gigante de la sierra,alsophila,bryophila
alsophila portoricensis,alsophila,portoricensis
deviltree,alstonia,macrophylla
alstonia pacifica,alstonia,pacifica
common serviceberry,amelanchier,arborea
allegheny serviceberry,amelanchier,laevis
roundleaf serviceberry,amelanchier,sanguinea
serviceberry spp.,amelanchier,spp.
black calabash,amphitecna,latifolia
balsam torchwood,amyris,balsamifera
sea torchwood,amyris,elemifera
cashew,anacardium,occidentale
anacardium,anacardium,spp.
anacolosa glochidiiformis,anacolosa,glochidiiformis
anacolosa insularis,anacolosa,insularis
anadenanthera peregrina,anadenanthera,peregrina
cabbagebark tree,andira,inermis
canelillo,aniba,bracteata
annona cherimola,annona,cherimola
ilama,annona,diversifolia
pond-apple,annona,glabra
mountain soursop,annona,montana
soursop,annona,muricata
custard apple,annona,reticulata
sugar apple,annona,squamosa
antidesma bunius,antidesma,bunius
kapua china laurel,antidesma,kapuae
antidesma kusaiense,antidesma,kusaiense
ha a,antidesma,platyphyllum
hame,antidesma,pulvinatum
placa chiquitu,antirhea,acutata
pegwood,antirhea,coriacea
antirhea inconspicua,antirhea,inconspicua
palo iloron,antirhea,lucida
quina roja,antirhea,obtusifolia
puerto rico quina,antirhea,portoricensis
sintenis' quina,antirhea,sintenisii
japanese angelica tree,aralia,elata
parana pine,araucaria,angustifolia
new caledonia pine,araucaria,columnaris
norfolk island pine,araucaria,heterophylla
arizona madrone,arbutus,arizonica
pacific madrone,arbutus,menziesii
texas madrone,arbutus,xalapensis
alexandra palm,archontophoenix,alexandrae
bangalow palm,archontophoenix,cunninghamiana
shoebutton,ardisia,elliptica
ausubon,ardisia,glauciflora
mountain marlberry,ardisia,luquillensis
guadeloupe marlberry,ardisia,obovata
china-shrub,ardisia,solanacea
betelnut,areca,catechu
cabo-negro,arenga,pinnata
breadfruit,artocarpus,altilis
artocarpus heterophyllus,artocarpus,heterophyllus
dugdug,artocarpus,mariannensis
marianas breadfruit,artocarpus,mariannensis
artocarpus nobilis,artocarpus,nobilis
marang,artocarpus,odoratissimus
afia,ascarina,diffusa
smallflower pawpaw,asimina,parviflora
pawpaw,asimina,triloba
astronidium kusaianum,astronidium,kusaianum
astronidium navigatorum,astronidium,navigatorum
meskui,astronidium,palauense
astronidium pickeringii,astronidium,pickeringii
astronidium samoense,astronidium,samoense
astronidium subcordata,astronidium,subcordata
ifi ifi,atuna,racemosa
bilimbi,averrhoa,bilimbi
carambola,averrhoa,carambola
black-mangrove,avicennia,germinans
avicennia marina,avicennia,marina
neem,azadirachta,indica
eastern baccharis,baccharis,halimifolia
peach palm,bactris,gasipaes
ralm,badusa,palauensis
puerto rico palo de ramon,banara,portoricensis
vanderbilt's palo de ramon,banara,vanderbiltii
sea putat,barringtonia,asiatica
langaasag,barringtonia,racemosa
falaga,barringtonia,samoensis
bastardiopsis eggersii,bastardiopsis,eggersii
texasplume,bauhinia,lunarioides
napoleon's plume,bauhinia,monandra
petite flamboyant bauhinia,bauhinia,multinervia
railroadfence,bauhinia,pauletia
butterfly tree,bauhinia,purpurea
st. thomas tree,bauhinia,tomentosa
mountain ebony,bauhinia,variegata
bauhinia,bauhinia,x blakeana
slugwood,beilschmiedia,pendula
caribbean myrtlecroton,bernardia,dichotoma
yellow birch,betula,alleghaniensis
sweet birch,betula,lenta
resin birch,betula,neoalaskana
river birch,betula,nigra
water birch,betula,occidentalis
paper birch,betula,papyrifera
european white birch,betula,pendula
asian white birch,betula,platyphylla
gray birch,betula,populifolia
downy birch,betula,pubescens
virginia roundleaf birch,betula,uber
northwestern paper birch,betula,x utahensis
javanese bishopwood,bischofia,javanica
lipsticktree,bixa,orellana
akee,blighia,sapida
akupa,bobea,brevipes
ahakea lau nui,bobea,elatior
hawaii dogweed,bobea,sandwicensis
ahakea,bobea,timonioides
parrotweed,bocconia,frutescens
virgata,boehmeria,virgata
white alling,bontia,daphnoides
bourreria radula,bourreria,radula
bodywood,bourreria,succulenta
roble de guayo,bourreria,virgata
pink flame tree,brachychiton,discolor
whiteflower kurrajong,brachychiton,populneum
paper mulberry,broussonetia,papyrifera
angels-trumpet,brugmansia,candida
oriental mangrove,bruguiera,gymnorhiza
smallflower bruguiera,bruguiera,parviflora
west indian sumac,brunellia,comocladiifolia
american brunfelsia,brunfelsia,americana
serpentine hill raintree,brunfelsia,densifolia
vega blanca,brunfelsia,lactea
puerto rico raintree,brunfelsia,portoricensis
deuachel,buchanania,palawensis
fourleaf buchenavia,buchenavia,tetraphylla
gregorywood,bucida,buceras
cafe falso,bunchosia,glandulifera
cafe forastero,bunchosia,glandulosa
bunchosia polystachia,bunchosia,polystachia
burckella richii,burckella,richii
gumbo limbo,bursera,simaruba
south american jelly palm,butia,capitata
buxus laevigata,buxus,laevigata
common box,buxus,sempervirens
vahl's box,buxus,vahlii
maricao cimun,byrsonima,crassifolia
long key locustberry,byrsonima,lucida
doncella,byrsonima,spicata
almendrillo,byrsonima,wadsworthii
divi divi,caesalpinia,coriaria
uhiuhi,caesalpinia,kavaiensis
pride-of-barbados,caesalpinia,pulcherrima
sappanwood,caesalpinia,sappan
nicker,caesalpinia,spp.
surinamese stickpea,calliandra,surinamensis
caparosa,callicarpa,ampla
crimson bottlebrush,callistemon,citrinus
weeping bottlebrush,callistemon,viminalis
callitris columellaris,callitris,columellaris
incense-cedar,calocedrus,decurrens
antilles calophyllum,calophyllum,antillanum
alexandrian laurel,calophyllum,inophyllum
tamanu,calophyllum,neo-ebudicum
olebtaches,calophyllum,soulattri
roostertree,calotropis,procera
degame,calycophyllum,candidissimum
kiaerskov's lidflower,calyptranthes,kiaerskovii
limoncillo,calyptranthes,krugii
luquillo forest lidflower,calyptranthes,luquillensis
pale lidflower,calyptranthes,pallens
puerto rico lidflower,calyptranthes,portoricensis
limoncillo de monte,calyptranthes,sintenisii
thomas' lidflower,calyptranthes,thomasiana
myrtle of the river,calyptranthes,zuzygium
puerto rico manac,calyptronoma,rivalis
camellia,camellia,japonica
tea,camellia,sinensis
kelela charm,campnosperma,brevipetiolatum
kiu,campnosperma,brevipetiolatum
ilang-ilang,cananga,odorata
mesecheues,canarium,hirsutum
lukerr,canarium,indicum
mafoa,canarium,mafoa
pili nut,canarium,ovatum
maali,canarium,vitiense
canarium vulgare,canarium,vulgare
wild cinnamon,canella,winteriana
burro blanco,capparis,amplissima
caper,capparis,baducca
jamaican caper,capparis,cynophallophora
falseteeth,capparis,flexuosa
broadleaf caper,capparis,hastata
linguam,capparis,indica
siberian peashrub,caragana,arborescens
crabwood,carapa,guianensis
papaya,carica,papaya
scorpionbush,carmona,retusa
european hornbeam,carpinus,betulus
american hornbeam,carpinus,caroliniana
musclewood,carpinus,caroliniana
mockernut hickory,carya,alba
water hickory,carya,aquatica
southern shagbark hickory,carya,carolinae-septentrionalis
bitternut hickory,carya,cordiformis
scrub hickory,carya,floridana
pignut hickory,carya,glabra
pecan,carya,illinoinensis
shellbark hickory,carya,laciniosa
nutmeg hickory,carya,myristiciformis
red hickory,carya,ovalis
shagbark hickory,carya,ovata
sand hickory,carya,pallida
black hickory,carya,texana
fish tail palm,caryota,mitis
fishtail palm,caryota,urens
rabo de ranton,casearia,aculeata
gia verde,casearia,arborea
keuert,casearia,cauliflora
wild honeytree,casearia,decandra
guyanese wild coffee,casearia,guianensis
crackopen,casearia,sylvestris
golden shower,cassia,fistula
pink shower,cassia,grandis
apple blossom,cassia,javanica
gold medallion tree,cassia,leptophylla
marbletree,cassine,xylocarpa
goatwood,cassipourea,guianensis
japanese chestnut,castanea,crenata
american chestnut,castanea,dentata
chinese chestnut,castanea,mollissima
allegheny chinkapin,castanea,pumila
ozark chinkapin,castanea,pumila
european chestnut,castanea,sativa
goatbush,castela,erecta
panama rubbertree,castilla,elastica
river sheoak,casuarina,cunninghamiana
beach sheoak,casuarina,equisetifolia
gray sheoak,casuarina,glauca
belah,casuarina,lepidophloia
gagu,casuarina,litorea
australian pine,casuarina,litorea
southern catalpa,catalpa,bignonioides
haitian catalpa,catalpa,longissima
chinese catalpa,catalpa,ovata
northern catalpa,catalpa,speciosa
trumpet tree,cecropia,obtusifolia
pumpwood,cecropia,schreberiana
spanish cedar,cedrela,odorata
atlas cedar,cedrus,atlantica
deodar cedar,cedrus,deodara
cedar of lebanon,cedrus,libani
kapoktree,ceiba,pentandra
sugarberry,celtis,laevigata
hackberry,celtis,occidentalis
celtis paniculata,celtis,paniculata
chinese hackberry,celtis,sinensis
almex,celtis,trinervia
st. john's bread,ceratonia,siliqua
emeridech,cerbera,floribunda
leva,cerbera,manghas
chiute,cerbera,odollam
katsura tree,cercidiphyllum,japonicum
eastern redbud,cercis,canadensis
california redbud,cercis,orbiculata
curlleaf mountain-mahogany,cercocarpus,ledifolius
lady of the night cactus,cereus,hexagonus
cereus hildmannianus,cereus,hildmannianus
orange jessamine,cestrum,aurantiacum
day jessamine,cestrum,diurnum
galen del monte,cestrum,laurifolium
night jessamine,cestrum,nocturnum
port-orford-cedar,chamaecyparis,lawsoniana
alaska yellow-cedar,chamaecyparis,nootkatensis
hinoki false cypress,chamaecyparis,obtusa
sawara-cypress,chamaecyparis,pisifera
atlantic white-cedar,chamaecyparis,thyoides
european fan palm,chamaerops,humilis
jointed sandmat,chamaesyce,articulata
koko,chamaesyce,atrococca
ekoko,chamaesyce,celastroides
herbsts sandmat,chamaesyce,herbstii
kokomalei,chamaesyce,kuwaleana
alpine sandmat,chamaesyce,olowaluana
koolau range sandmat,chamaesyce,rockii
napali coast papala,charpentiera,densiflora
ellipticleaf papala,charpentiera,elliptica
broadleaf papala,charpentiera,obovata
koolau range papala,charpentiera,ovata
waianae range papala,charpentiera,tomentosa
domins club,cheirodendron,dominii
fauries club,cheirodendron,fauriei
olapa,cheirodendron,forbesii
lapalapa,cheirodendron,platyphyllum
olapalapa,cheirodendron,trigynum
alaweo,chenopodium,oahuense
hueso,chionanthus,axilliflorus
bridgotree,chionanthus,compactus
white rosewood,chionanthus,domingensis
hueso prieto,chionanthus,holdridgei
cabra blanca,chionanthus,ligustrinus
chinese fringetree,chionanthus,retusus
puntaj jayuya,chione,seminervis
fatpork,chione,venosa
african teak,chlorophora,excelsa
silk-floss tree,chorisia,speciosa
icaco coco plum,chrysobalanus,icaco
giant chinkapin,chrysolepis,chrysophylla
golden chinkapin,chrysolepis,chrysophylla
bastard redwood,chrysophyllum,argenteum
star apple,chrysophyllum,cainito
satinleaf,chrysophyllum,oliviforme
camito de perro,chrysophyllum,pauciflorum
chamissos manfern,cibotium,chamissoi
hapuu,cibotium,glaucum
hawaiian tree fern,cibotium,heleniae
hapuu li,cibotium,menziesii
manfern,cibotium,spp.
quinine,cinchona,pubescens
cassia,cinnamomum,aromaticum
padang cassia,cinnamomum,burmannii
camphortree,cinnamomum,camphora
laurel avispillo,cinnamomum,elongatum
avispillo,cinnamomum,montanum
matieu,cinnamomum,sessilifolium
cinnamon,cinnamomum,verum
juniper berry,citharexylum,caudatum
spiny fiddlewood,citharexylum,spinosum
lime (tipolo),citrus,aurantifolia
limon china,citrus,hystrix
kahet,citrus,macroptera
wild orange,citrus,macroptera
citrus maxima,citrus,maxima
citrus medica,citrus,medica
calamondin,citrus,mitis
kingkang,citrus,mitis
citrus reticulata,citrus,reticulata
citrus spp.,citrus,spp.
key lime,citrus,xaurantiifolia
sour orange,citrus,xaurantium
lemon,citrus,xlimon
grapefruit,citrus,xparadisi
sweet orange,citrus,xsinensis
koee,claoxylon,carolinianum
claoxylon fallax,claoxylon,fallax
claoxylon longiracemosum,claoxylon,longiracemosum
katteknau,claoxylon,marianum
katot,claoxylon,marianum
poola,claoxylon,sandwicense
cleistanthus carolinianus,cleistanthus,carolinianus
cleistanthus insularis,cleistanthus,insularis
oha wai nui,clermontia,arborescens
kauai clermontia,clermontia,clermontioides
kohala mountain clermontia,clermontia,drepanomorpha
haha aiakamanu,clermontia,fauriei
bog clermontia,clermontia,grandiflora
oha kepau,clermontia,hawaiiensis
forest clermontia,clermontia,kakeana
waipio valley clermontia,clermontia,kohalae
oha wai nui clermontia,clermontia,leptoclada
hillside clermontia,clermontia,lindseyana
maui clermontia,clermontia,micrantha
mauna loa clermontia,clermontia,montis-loa
oahu clermontia,clermontia,oblongifolia
wailai pali clermontia,clermontia,pallida
smallflower clermontia,clermontia,parviflora
pele clermontia,clermontia,peleana
waioiani clermontia,clermontia,persicifolia
hamakua clermontia,clermontia,pyrularia
clermontia singuliflora,clermontia,singuliflora
clermontia,clermontia,spp.
haleakala clermontia,clermontia,tuberculata
swampforest clermontia,clermontia,waimeae
haggarbush,clerodendrum,aculeatum
rose glorybower,clerodendrum,bungei
natal glorybower,clerodendrum,glabrum
velvetleaf glorybower,clerodendrum,macrostegium
glorybower,clerodendrum,spp.
mountain sweetpepperbush,clethra,acuminata
teta prieta,cleyera,albopunctata
jackass breadnut,clibadium,erosum
clidemia cymosa,clidemia,cymosa
kiniyaw,clinostigma,carolinense
ochop,clinostigma,carolinense
philippine pigeonwings,clitoria,fairchildiana
cupeillo,clusia,clusioides
grundlach's attorney,clusia,gundlachii
cupey de monte,clusia,minor
scotch attorney,clusia,rosea
treadsoftly,cnidoscolus,aconitifolius
uvilla,coccoloba,costata
tietongue,coccoloba,diversifolia
pigeon-plum,coccoloba,diversifolia
whitewood,coccoloba,krugii
puckhout,coccoloba,microstachya
pale seagrape,coccoloba,pallida
grandleaf seagrape,coccoloba,pubescens
uvera,coccoloba,pyrifolia
ortegon,coccoloba,rugosa
uvero de monte,coccoloba,sintenisii
swartz's pigeonplum,coccoloba,swartzii
bahama pigeonplum,coccoloba,tenuifolia
seagrape,coccoloba,uvifera
false chiggergrape,coccoloba,venosa
florida silver palm,coccothrinax,argentata
coccothrinax barbadensis,coccothrinax,barbadensis
silk cottontree,cochlospermum,vitifolium
coconut palm,cocos,nucifera
garden croton,codiaeum,variegatum
arabian coffee,coffea,arabica
coffea liberica,coffea,liberica
robusta coffee,coffea,robusta
cojoba arborea,cojoba,arborea
abata cola,cola,acuminata
uab,colona,scabra
chuchab,colona,scabra
common snakebark,colubrina,arborescens
soldierwood,colubrina,elliptica
kauila,colubrina,oppositifolia
bladder senna,colutea,arborescens
poison ash,comocladia,dodonaea
carrasco,comocladia,glabra
bluewood,condalia,hookeri
buttonwood-mangrove,conocarpus,erectus
luquillo mountain snailwood,conostegia,rufescens
